"branch","health_and_beauty_revenue","electronic_accessories_revenue","home_and_lifestyle_revenue","sports_and_travel_revenue","food_and_beverages_revenue","fashion_accessories_revenue"
A,12597.752999999999,18317.114500000003,22417.197000000004,19372.698999999997,17163.102499999997,16332.509999999995
C,16615.328,18968.977499999997,13895.554499999998,15761.931,23766.857500000002,21560.072999999993
B,19980.660999999996,17051.446000000004,17549.164999999997,19988.199500000006,15214.887500000003,16413.317499999994
